,log10c0,x,rhoA,rhoV,K,K_L,E,DeltaE,deltaL,gtype,h,tf,is_restart_antibiotics
0,-3.0,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
1,-2.9,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
2,-2.9,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
3,-2.8,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
4,-2.8,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
5,-2.7,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
6,-2.6,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
7,-2.6,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
8,-2.5,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
9,-2.5,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
10,-2.4,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
11,-2.3,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
12,-2.3,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
13,-2.2,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
14,-2.2,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
15,-2.1,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
16,-2.0,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
17,-2.0,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
18,-1.9,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
19,-1.9,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
20,-1.8,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
21,-1.7,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
22,-1.7,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
23,-1.6,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
24,-1.6,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
25,-1.5,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
26,-1.4,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
27,-1.4,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
28,-1.3,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
29,-1.3,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
30,-1.2,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
31,-1.1,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
32,-1.1,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
33,-1.0,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
34,-1.0,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
35,-0.9,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
36,-0.8,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
37,-0.8,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
38,-0.7,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
39,-0.7,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
40,-0.6,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
41,-0.5,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
42,-0.5,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
43,-0.4,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
44,-0.4,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
45,-0.3,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
46,-0.2,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
47,-0.2,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
48,-0.1,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
49,-0.1,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
50,0.0,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
51,0.1,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
52,0.1,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
53,0.2,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
54,0.2,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
55,0.3,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
56,0.4,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
57,0.4,0,0.5,0.5,1,1,1,0.1,0.0,hill,1,10,True
